component,jtl_article_number
"ATA SSD_2.5""_TLC_512GB_InnovationIT_MAS-SSD-sata-512GB",SSD-512GB-2-5
MATSHITA MATSHITA DVD-RAM SW840-HDD-sata-1GB,DVD-Brenner
M93AMZ_16_512,PC-M73
Intel(R) Core(TM) i5-6600 CPU @ 3.30GHz,CPU-i5-6600
M378A5244CB0-CRC - DIMM DDR4 Synchronous 2133 MHz (0.5 ns)-4GB,RAM-4GB-DDR4
30BC,Nicht im WAWI
HL-DT-ST HL-DT-ST DVDRAM GUD0N-HDD-sata-1GB,DVD-Brenner
M900-32-1T-i7,PC-M900-i7
Intel(R) Core(TM) i5-4590T CPU @ 2.00GHz,CPU-i5-4590T
DDR3 NB 8G 1600 - SODIMM DDR3 Synchronous 1600 MHz (0.6 ns)-8GB,RAM-8GB-DDR3-SODIMM
M83Tiny-16-512_W,PC-M83-Tiny-i5
HL-DT-ST HL-DT-ST DVD-RAM GHB0N-HDD-sata-1GB,DVD-Brenner
M93AMZ_32_1T_i7_W,PC-M93
D3403-A1,Nicht im WAWI
Intel(R) Core(TM) i5-6500T CPU @ 2.50GHz,CPU-i5-6500
M471A5244CB0-CRC - SODIMM DDR4 Synchronous 2133 MHz (0.5 ns)-4GB,RAM-4GB-DDR4-SODIMM
ATA 512GB-SSD-sata-512GB,SSD-512GB-2-5
Q556AMZ_8_512_W,PC-Q556
M378B5173QH0-CK0 - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-4GB,RAM-4GB-DDR3
"ATA SSD_2.5""_512GB_InnovationIT_QLC-SSD-sata-512GB",SSD-512GB-2-5
Basic,PC-Basic
ASUS DRW-24D5MT-HDD-sata-1GB,DVD-Brenner
HMT41GU6BFR8C-PB - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-8GB,RAM-8GB-DDR3
SKYBAY,Nicht im WAWI
PLDS PLDS DVD-RW DU8A6SH-HDD-sata-1GB,Nicht im WAWI
PLDS PLDS DVD-RW DU8AESH-HDD-sata-1GB,DVD-Brenner
CT16G4DFD824A.C16FT - DIMM DDR4 Synchronous 2133 MHz (0.5 ns)-16GB,RAM-16GB-DDR4
ATA VTP1024GSSD1-SSD-sata-1024GB,SSD-1TB-2-5
hp HLDS hp HLDS DVDRW GUD0N-HDD-sata-1GB,DVD-Brenner
ATA Go-Infinity-SSD-ata-256GB,SSD-240GB-2-5
